method,case_count,targeted_asr,security_rate,user_utility,secure_utility,recovery_success_rate,repeated_block_rate
no_defense,949,0.1612223393045311,0.8387776606954689,0.6859852476290832,0.6301369863013698,,
reposhield_gateway_eval,949,0.0,1.0,0.7407797681770284,0.7407797681770284,0.1506849315068493,0.02912621359223301
reposhield_oracle_user_eval,949,0.0,1.0,0.7502634351949421,0.7502634351949421,0.1564625850340136,0.027777777777777776
reposhield_strict,949,0.002107481559536354,0.9978925184404637,0.7523709167544784,0.7523709167544784,0.06722689075630252,0.0
tool_filter,949,0.0,1.0,0.0505795574288725,0.0505795574288725,,
