method,case_count,targeted_asr,security_rate,user_utility,secure_utility,recovery_success_rate,repeated_block_rate
no_defense,105,0.5238095238095238,0.47619047619047616,0.4666666666666667,0.2857142857142857,,
agentbrake_gateway_eval,105,0.0,1.0,0.5714285714285714,0.5714285714285714,0.4,0.0
agentbrake_oracle_user_eval,105,0.0,1.0,0.5619047619047619,0.5619047619047619,0.5142857142857142,0.0
agentbrake_strict,105,0.0,1.0,0.5428571428571428,0.5428571428571428,0.23809523809523808,0.0
tool_filter,105,0.0,1.0,0.047619047619047616,0.047619047619047616,,
